"key","message","comment","context"
"AOS API calls are disabled, please contact your administrator. The property utils.api.enable is false in application.properties.",,,
"An error occurred with the following message : %s",,,
"An error occurs while opening the connection. Please verify the following URL : %s.","Se produce un error al abrir la conexión. Verifique la siguiente URL : %s.",,
"Can not opening the connection to a empty URL.","No se puede abrir la conexión a una URL vacía.",,
"Cannot find record #%s","No se puede encontrar el registro #%s",,
"Computation in progress...",,,
"Error executing query: %s",,,
"Meta json field type %s could not be converted to a meta field type.",,,
"No such template","No existe tal plantilla",,
"Templating can not be empty","La plantilla no puede estar vacía",,
"The collection of IDs cannot be null.","La colección de ID no puede ser nula.",,
"The consumer cannot be null.","El consumidor no puede ser nulo.",,
"The parameter copyNumber should be superior to 0.","El parámetro copyNumber debería ser superior a 0.",,
"This field needs to be unique.","Este campo debe ser único.",,
"Type %s could not be converted to json type.",,,
"Url %s is malformed.","La url %s está malformada.",,
"Years in 360 days","Años en 360 días",,
